,Breaking&Entering,Stated intent with partner,Happened at night,Elements of assault identified,Elements of theft identified,Race,Stage of Legal Procedure,Sentencing
1352,False,True,True,False,False,White,Initial Hearing/Arraignment,1
1353,True,True,False,True,False,White,Pre-Trial Motions,3
1354,True,False,False,False,False,White,Plea Bargaining,2
1355,False,False,False,True,True,Black,Investigation,4
1356,False,False,False,False,True,Hispanic,Pre-Trial Motions,2
1357,True,True,False,False,False,Black,Plea Bargaining,0
1358,True,False,True,False,False,Hispanic,Plea Bargaining,1
1359,False,False,True,True,False,Hispanic,Pre-Trial Motions,1
1360,False,True,True,True,True,White,Investigation,1
1361,False,True,False,False,True,Black,Plea Bargaining,4
1362,False,True,True,True,False,White,Investigation,1
1363,True,False,True,False,True,Hispanic,Pre-Trial Motions,0
1364,True,False,False,False,True,White,Investigation,3
1365,False,True,True,True,False,Black,Investigation,4
1366,False,False,True,True,False,Black,Pre-Trial Motions,5
1367,False,False,False,False,True,Hispanic,Plea Bargaining,5
1368,False,False,False,True,False,Other,Investigation,5
1369,True,False,False,False,True,Other,Plea Bargaining,2
1370,True,False,True,True,True,Black,Initial Hearing/Arraignment,4
1371,True,True,True,True,True,Hispanic,Pre-Trial Motions,1
1372,False,True,False,True,False,Black,Pre-Trial Motions,4
1373,True,False,True,False,True,White,Investigation,0
1374,True,False,False,True,True,Other,Initial Hearing/Arraignment,1
1375,True,True,True,True,False,Black,Initial Hearing/Arraignment,5
1376,False,False,False,False,True,Hispanic,Plea Bargaining,0
1377,False,False,False,False,True,Hispanic,Investigation,5
1378,False,True,False,False,True,Other,Pre-Trial Motions,4
1379,True,False,True,False,True,Black,Plea Bargaining,4
1380,False,True,True,False,False,Other,Initial Hearing/Arraignment,3
1381,False,False,False,True,False,Hispanic,Pre-Trial Motions,1
1382,True,True,True,True,False,Black,Plea Bargaining,2
1383,False,True,True,False,False,Black,Initial Hearing/Arraignment,2
1384,False,True,False,False,False,Other,Pre-Trial Motions,3
1385,False,False,False,False,True,Black,Plea Bargaining,0
1386,False,True,True,False,False,Other,Investigation,3
1387,False,True,True,False,True,White,Plea Bargaining,0
1388,True,True,False,False,True,Other,Investigation,5
1389,True,False,True,False,False,White,Plea Bargaining,4
1390,True,True,True,True,False,White,Investigation,2
1391,True,False,True,False,True,White,Initial Hearing/Arraignment,1
1392,True,True,True,True,True,Other,Plea Bargaining,0
1393,False,False,True,True,False,White,Pre-Trial Motions,0
1394,True,True,False,True,True,Black,Investigation,5
1395,False,True,True,True,False,Black,Initial Hearing/Arraignment,4
1396,True,True,False,True,True,Hispanic,Initial Hearing/Arraignment,3
1397,True,True,True,False,True,Black,Plea Bargaining,3
1398,True,False,False,False,True,Other,Pre-Trial Motions,2
1399,False,True,False,True,False,White,Pre-Trial Motions,3
1400,False,False,True,True,False,Black,Plea Bargaining,4
1401,False,False,False,False,False,Black,Investigation,0
1402,True,False,True,True,True,Black,Plea Bargaining,2
1403,True,True,False,True,False,Other,Pre-Trial Motions,4
1404,True,False,False,True,True,White,Pre-Trial Motions,4
1405,True,False,True,False,True,Other,Pre-Trial Motions,1
1406,False,False,True,True,True,White,Plea Bargaining,4
1407,True,False,True,False,True,Hispanic,Pre-Trial Motions,5
1408,True,False,False,False,True,White,Plea Bargaining,0
1409,False,False,False,True,True,Other,Plea Bargaining,0
1410,True,False,True,True,False,Hispanic,Investigation,0
1411,False,False,False,False,True,Other,Initial Hearing/Arraignment,2
1412,True,False,True,True,False,Black,Investigation,5
1413,True,True,False,True,False,Black,Plea Bargaining,2
1414,False,True,True,True,True,White,Pre-Trial Motions,1
1415,False,False,True,True,False,Hispanic,Pre-Trial Motions,0
1416,True,False,False,False,True,Hispanic,Initial Hearing/Arraignment,5
1417,True,True,True,False,True,White,Investigation,0
1418,False,True,True,True,True,Black,Plea Bargaining,5
1419,False,False,True,True,False,Other,Initial Hearing/Arraignment,0
1420,True,True,True,False,True,White,Pre-Trial Motions,5
1421,True,True,False,False,False,Black,Plea Bargaining,4
1422,True,False,False,True,False,White,Pre-Trial Motions,4
1423,True,False,True,False,False,White,Investigation,0
1424,False,True,False,False,True,White,Pre-Trial Motions,2
1425,True,False,False,True,True,Hispanic,Initial Hearing/Arraignment,0
1426,True,False,False,True,True,Hispanic,Plea Bargaining,1
1427,False,True,False,True,True,Other,Initial Hearing/Arraignment,5
1428,False,True,False,True,True,Black,Investigation,4
1429,False,True,True,True,True,Hispanic,Pre-Trial Motions,4
1430,True,True,True,True,True,White,Initial Hearing/Arraignment,1
1431,True,True,True,True,False,Hispanic,Initial Hearing/Arraignment,1
1432,False,True,True,True,False,Other,Plea Bargaining,0
1433,True,False,False,True,True,Hispanic,Plea Bargaining,3
1434,False,True,False,False,False,Black,Plea Bargaining,3
1435,False,False,True,False,True,Other,Plea Bargaining,1
1436,True,False,True,True,False,Hispanic,Pre-Trial Motions,1
1437,False,False,False,True,False,White,Investigation,3
1438,False,True,True,True,False,Black,Plea Bargaining,5
1439,True,True,True,False,True,Hispanic,Pre-Trial Motions,5
1440,True,True,True,True,False,Hispanic,Plea Bargaining,1
1441,True,False,False,False,True,Black,Investigation,3
1442,False,False,False,False,True,White,Initial Hearing/Arraignment,3
1443,True,True,False,True,False,Hispanic,Initial Hearing/Arraignment,3
1444,False,True,True,False,False,Other,Plea Bargaining,2
1445,True,False,False,True,False,White,Pre-Trial Motions,2
1446,True,False,True,False,False,Black,Investigation,2
1447,True,False,True,False,True,Hispanic,Plea Bargaining,2
1448,True,False,False,True,True,White,Initial Hearing/Arraignment,3
1449,True,True,True,True,False,Black,Investigation,0
1450,False,False,False,True,False,Other,Initial Hearing/Arraignment,1
1451,False,True,True,True,True,Other,Initial Hearing/Arraignment,2
1452,False,False,False,False,True,Other,Investigation,2
1453,False,False,True,True,True,Hispanic,Plea Bargaining,0
1454,False,False,False,False,False,White,Plea Bargaining,1
1455,True,True,True,True,False,Hispanic,Investigation,0
1456,False,False,False,False,False,Hispanic,Initial Hearing/Arraignment,3
1457,True,True,True,True,True,Hispanic,Pre-Trial Motions,4
1458,False,False,False,False,True,Other,Investigation,0
1459,False,True,False,False,False,Other,Pre-Trial Motions,0
1460,False,True,True,False,True,Other,Investigation,3
1461,True,True,True,True,True,Hispanic,Initial Hearing/Arraignment,4
1462,False,False,False,False,False,White,Pre-Trial Motions,2
1463,False,False,False,False,False,Other,Initial Hearing/Arraignment,4
1464,False,True,False,False,False,Other,Plea Bargaining,2
1465,True,True,True,False,False,White,Plea Bargaining,3
1466,True,True,False,False,False,Other,Pre-Trial Motions,0
1467,False,False,False,True,False,Black,Plea Bargaining,2
1468,False,True,False,True,True,White,Investigation,4
1469,True,False,True,False,False,Black,Investigation,4
1470,False,True,False,False,False,White,Pre-Trial Motions,3
1471,False,False,False,False,True,White,Initial Hearing/Arraignment,1
1472,True,True,False,True,True,Hispanic,Pre-Trial Motions,1
1473,False,False,True,False,True,Hispanic,Initial Hearing/Arraignment,1
1474,True,True,True,True,False,Other,Initial Hearing/Arraignment,2
1475,True,True,True,True,True,Hispanic,Investigation,0
1476,False,True,False,True,False,White,Pre-Trial Motions,2
1477,False,True,False,True,False,White,Pre-Trial Motions,0
1478,False,True,False,False,False,Hispanic,Plea Bargaining,4
1479,True,True,False,False,False,White,Pre-Trial Motions,3
1480,True,True,True,True,True,White,Initial Hearing/Arraignment,3
1481,False,False,True,True,True,Hispanic,Plea Bargaining,2
1482,True,False,False,False,False,White,Initial Hearing/Arraignment,2
1483,False,True,False,True,False,Black,Plea Bargaining,1
1484,False,False,True,True,True,Black,Pre-Trial Motions,4
1485,False,True,True,False,False,Other,Investigation,3
1486,False,False,False,True,True,White,Investigation,2
1487,True,True,True,False,False,Black,Plea Bargaining,5
1488,False,True,False,True,False,Hispanic,Plea Bargaining,1
1489,False,False,False,False,False,Hispanic,Investigation,1
1490,False,True,False,False,True,Hispanic,Investigation,1
1491,False,False,True,True,True,Other,Initial Hearing/Arraignment,3
1492,False,False,False,True,True,Hispanic,Initial Hearing/Arraignment,1
1493,False,False,False,False,False,White,Initial Hearing/Arraignment,3
1494,False,True,False,False,True,Other,Plea Bargaining,5
1495,False,True,False,True,False,Hispanic,Investigation,3
1496,False,True,False,True,True,Other,Initial Hearing/Arraignment,1
1497,False,False,False,True,False,Hispanic,Plea Bargaining,5
1498,True,False,False,False,False,Other,Initial Hearing/Arraignment,0
1499,False,False,True,True,False,Hispanic,Initial Hearing/Arraignment,2
1500,True,False,True,False,True,Black,Plea Bargaining,4
1501,False,False,False,True,True,White,Initial Hearing/Arraignment,1
1502,False,False,True,True,False,Black,Plea Bargaining,2
1503,False,False,False,True,True,Black,Investigation,3
1504,True,False,False,False,False,Other,Plea Bargaining,1
1505,True,False,False,True,False,White,Initial Hearing/Arraignment,2
1506,True,False,True,True,True,White,Initial Hearing/Arraignment,2
1507,False,False,True,True,True,Other,Pre-Trial Motions,3
1508,False,True,True,False,True,White,Plea Bargaining,3
1509,True,True,False,True,False,Other,Initial Hearing/Arraignment,2
1510,True,True,False,True,True,White,Pre-Trial Motions,1
1511,False,False,False,False,True,White,Pre-Trial Motions,2
1512,True,False,False,False,False,Other,Plea Bargaining,1
1513,True,False,True,False,False,Hispanic,Investigation,3
1514,False,False,True,False,False,Other,Initial Hearing/Arraignment,4
1515,False,False,False,True,False,Black,Investigation,5
1516,False,False,True,False,True,White,Initial Hearing/Arraignment,0
1517,False,False,True,True,True,Black,Plea Bargaining,3
1518,True,True,True,True,False,Black,Plea Bargaining,5
1519,True,False,True,True,False,Hispanic,Pre-Trial Motions,4
1520,True,False,False,False,True,Black,Initial Hearing/Arraignment,2
1521,False,False,True,False,False,Other,Plea Bargaining,4
1522,True,True,True,False,False,Hispanic,Investigation,0
1523,False,True,False,True,True,Hispanic,Initial Hearing/Arraignment,3
1524,False,True,False,True,False,Other,Investigation,3
1525,False,True,False,False,False,Other,Pre-Trial Motions,2
1526,False,False,False,False,True,White,Initial Hearing/Arraignment,0
1527,False,True,True,True,False,White,Investigation,1
1528,True,False,True,True,True,White,Investigation,5
1529,True,True,False,True,True,White,Initial Hearing/Arraignment,2
1530,True,True,False,False,False,White,Initial Hearing/Arraignment,0
1531,False,True,False,False,False,Hispanic,Investigation,1
1532,True,False,False,False,False,White,Initial Hearing/Arraignment,1
1533,False,False,True,False,False,White,Initial Hearing/Arraignment,3
1534,False,False,True,True,False,Hispanic,Initial Hearing/Arraignment,2
1535,True,True,False,False,True,Black,Plea Bargaining,4
1536,True,False,True,True,False,Hispanic,Plea Bargaining,4
1537,False,False,False,False,False,White,Plea Bargaining,2
1538,False,True,True,False,True,White,Investigation,3
1539,False,False,True,False,True,Other,Investigation,1
1540,False,True,True,True,False,Other,Plea Bargaining,5
1541,True,True,True,False,True,Black,Plea Bargaining,3
1542,True,True,False,False,True,Other,Investigation,4
1543,False,False,True,True,False,Black,Plea Bargaining,3
1544,False,True,False,True,False,Black,Initial Hearing/Arraignment,4
1545,False,True,True,True,True,Hispanic,Plea Bargaining,1
1546,True,True,True,False,True,Other,Initial Hearing/Arraignment,3
1547,False,True,False,False,False,Other,Investigation,2
1548,False,False,True,False,False,Hispanic,Plea Bargaining,1
1549,False,True,True,True,True,Other,Plea Bargaining,1
1550,True,True,False,True,True,White,Investigation,1
1551,True,True,True,True,False,Black,Investigation,4
1552,True,True,False,False,False,White,Initial Hearing/Arraignment,1
1553,True,True,True,True,True,Hispanic,Plea Bargaining,0
1554,True,False,True,True,False,Other,Plea Bargaining,2
1555,True,False,True,False,False,Black,Pre-Trial Motions,2
1556,True,True,False,False,False,Hispanic,Investigation,0
1557,True,False,True,False,True,Other,Plea Bargaining,5
1558,True,False,True,True,False,Black,Plea Bargaining,3
1559,True,False,False,True,True,Hispanic,Investigation,5
1560,False,True,False,False,False,Black,Initial Hearing/Arraignment,3
1561,True,True,False,False,False,Black,Plea Bargaining,4
1562,False,False,True,False,False,White,Plea Bargaining,4
1563,True,True,False,True,True,Hispanic,Initial Hearing/Arraignment,2
1564,False,False,False,True,False,Hispanic,Pre-Trial Motions,4
1565,False,True,False,True,True,Other,Pre-Trial Motions,2
1566,True,True,True,True,True,White,Investigation,0
1567,True,True,True,True,False,Other,Pre-Trial Motions,5
1568,False,True,True,False,False,Hispanic,Plea Bargaining,1
1569,False,False,True,False,False,White,Investigation,3
1570,True,False,False,True,True,White,Plea Bargaining,0
1571,True,False,True,True,False,Hispanic,Investigation,1
1572,False,False,True,True,False,Other,Investigation,3
1573,True,False,False,True,False,Hispanic,Plea Bargaining,3
1574,False,True,True,False,False,White,Investigation,0
1575,True,False,False,True,False,Other,Pre-Trial Motions,1
1576,True,True,False,True,True,Hispanic,Initial Hearing/Arraignment,5
1577,False,False,True,False,False,Other,Plea Bargaining,5
1578,True,True,True,False,True,Hispanic,Investigation,1
1579,True,True,True,True,True,Black,Investigation,3
1580,False,False,True,True,True,White,Plea Bargaining,0
1581,True,True,False,False,True,Black,Investigation,1
1582,True,False,True,True,True,Other,Plea Bargaining,4
1583,True,False,False,True,True,Hispanic,Pre-Trial Motions,0
1584,False,False,False,True,True,Black,Investigation,5
1585,False,False,True,True,True,Black,Investigation,4
1586,True,False,False,False,True,Hispanic,Plea Bargaining,1
1587,True,True,True,True,True,Hispanic,Pre-Trial Motions,5
1588,True,True,False,True,True,Black,Plea Bargaining,3
1589,False,True,True,True,True,Hispanic,Investigation,4
1590,True,True,False,True,False,Black,Pre-Trial Motions,2
1591,True,True,False,True,False,Black,Plea Bargaining,4
1592,False,False,False,True,False,Other,Investigation,3
1593,True,False,True,False,False,White,Investigation,4
1594,False,False,False,True,True,White,Pre-Trial Motions,3
1595,False,False,False,True,True,Black,Plea Bargaining,5
1596,False,True,True,False,False,Hispanic,Investigation,1
1597,False,True,False,False,True,Other,Plea Bargaining,2
1598,False,False,False,True,True,White,Investigation,0
1599,True,False,True,True,False,Other,Plea Bargaining,1
1600,False,True,False,False,True,Hispanic,Pre-Trial Motions,5
1601,False,True,False,True,True,Hispanic,Plea Bargaining,1
1602,False,True,False,True,False,Black,Plea Bargaining,5
1603,True,False,False,False,False,Other,Pre-Trial Motions,2
1604,True,True,False,False,False,White,Pre-Trial Motions,0
1605,True,True,False,False,True,White,Pre-Trial Motions,2
1606,False,False,False,False,False,Other,Investigation,2
1607,True,True,True,True,True,White,Plea Bargaining,3
1608,False,True,True,False,True,Black,Investigation,5
1609,False,False,True,True,True,White,Pre-Trial Motions,5
1610,False,False,True,True,False,White,Investigation,5
1611,True,True,False,False,False,White,Investigation,1
1612,True,True,False,True,True,White,Investigation,4
1613,True,False,True,False,True,Other,Plea Bargaining,5
1614,True,True,True,True,True,Hispanic,Pre-Trial Motions,4
1615,True,True,False,True,True,Black,Plea Bargaining,5
1616,True,False,False,True,False,Other,Initial Hearing/Arraignment,4
1617,True,True,True,True,True,Black,Pre-Trial Motions,5
1618,True,False,False,False,False,Hispanic,Investigation,4
1619,False,True,True,False,True,Other,Plea Bargaining,0
1620,False,True,False,True,False,Hispanic,Plea Bargaining,1
1621,False,True,False,True,True,White,Initial Hearing/Arraignment,0
1622,True,True,True,False,True,White,Pre-Trial Motions,0
1623,False,False,True,False,False,White,Pre-Trial Motions,3
1624,True,True,True,False,False,Hispanic,Plea Bargaining,2
1625,True,True,True,False,True,White,Pre-Trial Motions,2
1626,True,True,False,True,False,Hispanic,Pre-Trial Motions,3
1627,False,False,False,False,False,Black,Plea Bargaining,2
1628,True,False,False,False,False,Other,Investigation,0
1629,False,True,False,False,True,Black,Investigation,0
1630,True,True,False,False,False,Hispanic,Initial Hearing/Arraignment,5
1631,True,False,True,True,True,Hispanic,Plea Bargaining,2
1632,True,True,True,False,False,Black,Investigation,2
1633,True,False,True,True,True,White,Pre-Trial Motions,3
1634,True,False,False,True,False,Other,Initial Hearing/Arraignment,1
1635,True,True,False,True,True,Hispanic,Investigation,1
1636,False,True,False,False,False,Black,Plea Bargaining,4
1637,True,False,False,True,True,White,Plea Bargaining,2
1638,True,False,False,True,True,Black,Plea Bargaining,4
1639,True,True,True,True,False,Other,Investigation,0
1640,False,True,True,False,False,Hispanic,Pre-Trial Motions,2
1641,False,True,True,True,False,Black,Plea Bargaining,4
1642,False,True,True,False,False,Black,Investigation,1
1643,True,True,True,True,False,Hispanic,Initial Hearing/Arraignment,1
1644,False,False,True,True,False,Black,Plea Bargaining,0
1645,True,False,True,True,False,Black,Investigation,5
1646,False,False,True,False,True,Other,Plea Bargaining,2
1647,False,False,True,False,False,Black,Investigation,4
1648,False,False,False,False,False,Hispanic,Investigation,3
1649,True,False,True,False,False,Other,Plea Bargaining,0
1650,True,True,False,True,False,White,Pre-Trial Motions,0
1651,True,True,True,False,False,Black,Plea Bargaining,2
1652,False,True,False,True,False,Hispanic,Pre-Trial Motions,4
1653,True,True,False,True,True,Other,Pre-Trial Motions,3
1654,True,True,True,False,False,Hispanic,Investigation,0
1655,False,True,True,False,True,Other,Pre-Trial Motions,3
1656,True,True,True,False,True,Hispanic,Pre-Trial Motions,2
1657,True,True,False,False,False,Black,Investigation,2
1658,True,False,True,True,True,Hispanic,Pre-Trial Motions,3
1659,True,False,False,False,True,Other,Investigation,1
1660,True,False,False,True,True,Black,Plea Bargaining,3
1661,True,True,True,False,False,Hispanic,Investigation,1
1662,True,False,True,False,True,Other,Pre-Trial Motions,3
1663,True,True,False,False,False,White,Plea Bargaining,2
1664,True,False,False,False,False,Other,Investigation,2
1665,True,False,True,False,False,White,Pre-Trial Motions,4
1666,False,True,True,False,True,White,Investigation,3
1667,False,True,True,False,False,Black,Plea Bargaining,5
1668,True,False,True,True,False,White,Pre-Trial Motions,4
1669,False,True,True,True,True,White,Plea Bargaining,2
1670,False,True,False,False,True,Hispanic,Plea Bargaining,4
1671,False,True,True,True,True,Other,Plea Bargaining,4
1672,False,False,True,True,True,Hispanic,Investigation,2
1673,False,False,True,True,False,Other,Initial Hearing/Arraignment,3
1674,False,False,True,True,True,White,Investigation,1
1675,False,True,True,False,False,Other,Investigation,3
1676,True,True,False,True,False,Black,Investigation,4
1677,True,False,True,True,True,Other,Plea Bargaining,4
1678,False,False,True,False,False,White,Pre-Trial Motions,1
1679,True,False,True,True,False,Other,Initial Hearing/Arraignment,3
1680,True,False,False,False,False,Hispanic,Pre-Trial Motions,0
1681,False,False,False,False,True,Other,Plea Bargaining,2
1682,False,False,True,True,False,Black,Investigation,3
1683,False,False,True,False,True,Other,Plea Bargaining,4
1684,False,False,False,False,False,Other,Plea Bargaining,4
1685,False,False,True,True,True,Hispanic,Investigation,2
1686,True,False,True,True,True,Black,Investigation,1
1687,True,True,True,False,True,Black,Initial Hearing/Arraignment,2
1688,True,True,False,False,True,Other,Initial Hearing/Arraignment,3
1689,True,False,True,True,True,Other,Plea Bargaining,3
1690,True,False,True,False,True,Hispanic,Plea Bargaining,0
1691,False,True,False,True,True,White,Investigation,1
1692,True,False,False,True,True,Other,Investigation,4
1693,True,True,True,True,False,White,Initial Hearing/Arraignment,3
1694,True,False,True,True,True,Black,Pre-Trial Motions,5
1695,False,True,False,True,False,Other,Plea Bargaining,3
1696,False,False,False,True,True,Black,Initial Hearing/Arraignment,3
1697,True,False,False,True,True,Black,Investigation,4
1698,True,True,False,False,True,White,Investigation,1
1699,True,True,False,True,False,Black,Plea Bargaining,0
1700,False,False,False,False,True,Black,Plea Bargaining,4
1701,True,True,True,False,True,White,Initial Hearing/Arraignment,3
1702,False,True,False,True,True,Other,Pre-Trial Motions,1
1703,True,False,False,True,True,Black,Investigation,2
1704,False,True,False,False,True,Black,Initial Hearing/Arraignment,1
1705,True,True,True,False,False,Hispanic,Initial Hearing/Arraignment,4
1706,True,True,True,False,True,Other,Pre-Trial Motions,0
1707,True,False,True,True,False,Other,Pre-Trial Motions,4
1708,True,False,False,False,True,Hispanic,Investigation,3
1709,True,False,False,True,False,Black,Plea Bargaining,4
1710,True,True,False,False,True,Other,Initial Hearing/Arraignment,0
1711,False,False,True,True,True,Other,Investigation,2
1712,False,False,False,False,False,Other,Pre-Trial Motions,4
1713,True,True,False,False,True,White,Initial Hearing/Arraignment,1
1714,True,True,False,False,False,White,Investigation,4
1715,False,True,False,True,False,White,Initial Hearing/Arraignment,3
1716,False,False,False,False,False,Hispanic,Pre-Trial Motions,1
1717,True,True,False,True,False,White,Pre-Trial Motions,0
1718,True,True,False,True,False,Black,Pre-Trial Motions,3
1719,False,True,False,True,False,Black,Investigation,3
1720,False,False,True,False,True,Hispanic,Pre-Trial Motions,1
1721,False,True,False,False,True,White,Initial Hearing/Arraignment,2
1722,False,False,True,False,False,White,Plea Bargaining,4
1723,True,False,False,True,True,Black,Pre-Trial Motions,3
1724,True,True,False,False,True,Other,Initial Hearing/Arraignment,2
1725,True,False,True,True,True,Black,Investigation,5
1726,False,False,True,False,False,Black,Plea Bargaining,4
1727,False,True,False,False,False,White,Plea Bargaining,0
1728,True,False,False,True,False,Hispanic,Initial Hearing/Arraignment,3
1729,True,False,False,True,True,Other,Plea Bargaining,2
1730,True,False,True,False,True,Hispanic,Plea Bargaining,2
1731,False,True,False,False,True,Black,Pre-Trial Motions,5
1732,True,False,True,False,False,White,Pre-Trial Motions,1
1733,False,False,False,False,True,Hispanic,Pre-Trial Motions,4
1734,True,False,True,False,False,Hispanic,Investigation,4
1735,False,False,False,True,False,Other,Investigation,1
1736,True,False,True,True,True,White,Pre-Trial Motions,2
1737,False,False,True,True,False,White,Investigation,0
1738,False,False,False,True,False,Other,Pre-Trial Motions,1
1739,True,False,True,False,True,Other,Pre-Trial Motions,4
1740,True,False,False,True,True,Hispanic,Plea Bargaining,0
1741,True,False,True,True,True,Black,Plea Bargaining,4
1742,False,True,True,False,True,Black,Investigation,2
1743,False,False,True,True,False,White,Pre-Trial Motions,1
1744,True,False,False,True,True,White,Pre-Trial Motions,2
1745,False,False,True,False,True,Hispanic,Plea Bargaining,0
1746,True,False,True,True,True,Hispanic,Pre-Trial Motions,3
1747,False,False,True,False,True,White,Initial Hearing/Arraignment,3
1748,False,True,False,True,False,White,Plea Bargaining,2
1749,False,False,True,True,True,White,Initial Hearing/Arraignment,2
1750,False,False,True,False,False,Hispanic,Pre-Trial Motions,2
1751,True,False,True,False,False,Other,Plea Bargaining,4
1752,True,True,False,False,True,Hispanic,Initial Hearing/Arraignment,5
1753,False,False,False,True,True,Other,Pre-Trial Motions,3
1754,False,True,False,False,True,Hispanic,Plea Bargaining,4
1755,True,True,True,False,True,Black,Initial Hearing/Arraignment,1
1756,False,True,False,True,False,Hispanic,Initial Hearing/Arraignment,3
1757,False,False,True,True,True,Black,Investigation,2
1758,False,False,False,False,True,Other,Plea Bargaining,4
1759,True,False,False,False,True,White,Plea Bargaining,3
1760,False,True,False,False,True,Black,Plea Bargaining,3
1761,True,True,False,False,True,Black,Pre-Trial Motions,5
1762,True,False,False,False,True,Black,Plea Bargaining,4
1763,True,False,False,False,False,Hispanic,Pre-Trial Motions,1
1764,False,False,True,True,False,Other,Investigation,4
1765,True,True,True,False,False,White,Initial Hearing/Arraignment,3
1766,False,False,False,False,True,Hispanic,Initial Hearing/Arraignment,2
1767,False,False,True,True,False,Black,Plea Bargaining,5
1768,True,True,False,False,False,Hispanic,Initial Hearing/Arraignment,0
1769,False,True,False,False,True,Hispanic,Investigation,4
1770,True,False,False,True,False,Black,Pre-Trial Motions,5
1771,False,True,True,False,False,Black,Plea Bargaining,0
1772,True,False,True,True,False,White,Investigation,4
1773,True,False,False,False,False,Hispanic,Initial Hearing/Arraignment,2
1774,True,True,False,True,False,Black,Plea Bargaining,4
1775,False,False,True,True,True,White,Initial Hearing/Arraignment,4
1776,True,True,False,False,True,Hispanic,Investigation,3
1777,False,False,True,True,False,Black,Investigation,3
1778,True,False,False,True,True,Other,Plea Bargaining,1
1779,True,True,True,False,False,Black,Initial Hearing/Arraignment,3
1780,False,True,True,True,True,White,Initial Hearing/Arraignment,3
1781,True,True,True,False,False,Hispanic,Plea Bargaining,2
1782,False,False,True,False,True,Black,Plea Bargaining,2
1783,True,False,True,False,True,Black,Investigation,5
1784,True,True,False,True,False,White,Investigation,4
1785,False,True,True,True,True,Hispanic,Plea Bargaining,1
1786,True,True,False,False,True,Other,Pre-Trial Motions,1
1787,True,False,True,False,True,Hispanic,Initial Hearing/Arraignment,0
1788,True,False,False,False,False,Black,Investigation,0
1789,False,False,False,False,False,Other,Investigation,0
1790,True,True,True,False,False,Other,Plea Bargaining,4
1791,True,False,True,True,False,White,Pre-Trial Motions,1
1792,True,False,True,False,True,White,Initial Hearing/Arraignment,0
1793,True,True,False,True,False,White,Initial Hearing/Arraignment,0
1794,False,True,True,False,False,White,Investigation,4
1795,False,True,True,False,False,Hispanic,Plea Bargaining,3
1796,False,True,False,False,False,Black,Investigation,1
1797,True,False,False,True,True,Other,Pre-Trial Motions,4
1798,True,True,True,False,False,Black,Plea Bargaining,2
1799,True,True,True,False,False,White,Initial Hearing/Arraignment,3
1800,True,True,True,True,False,Black,Pre-Trial Motions,3
1801,False,True,False,False,False,White,Investigation,2
1802,False,False,False,True,False,Hispanic,Investigation,1
1803,True,True,False,False,False,Other,Initial Hearing/Arraignment,1
1804,True,True,False,False,False,Other,Pre-Trial Motions,2
1805,True,True,True,True,True,Hispanic,Initial Hearing/Arraignment,1
1806,False,True,True,True,True,Hispanic,Pre-Trial Motions,2
1807,True,False,True,True,False,Black,Investigation,3
1808,True,False,False,False,True,Other,Pre-Trial Motions,1
1809,False,True,True,False,True,Hispanic,Investigation,3
1810,True,False,True,False,False,White,Investigation,5
1811,False,True,True,True,True,Black,Investigation,3
1812,True,False,False,False,False,Black,Plea Bargaining,4
1813,True,False,False,False,False,Black,Plea Bargaining,5
1814,False,True,True,True,False,Other,Investigation,5
1815,True,True,True,False,True,White,Plea Bargaining,3
1816,True,False,False,True,False,Hispanic,Investigation,4
1817,False,True,False,True,True,Other,Investigation,5
1818,True,True,False,True,False,Black,Investigation,2
1819,True,True,True,True,True,Hispanic,Investigation,2
1820,False,True,False,True,False,Other,Initial Hearing/Arraignment,3
1821,True,False,False,True,True,Hispanic,Investigation,4
1822,True,False,True,True,True,White,Initial Hearing/Arraignment,0
1823,True,False,True,True,False,Other,Pre-Trial Motions,0
1824,False,False,True,False,False,Black,Plea Bargaining,4
1825,True,False,False,True,True,Black,Pre-Trial Motions,4
1826,False,False,False,False,True,White,Pre-Trial Motions,3
1827,False,False,False,False,True,Hispanic,Plea Bargaining,5
1828,False,True,True,True,True,Black,Investigation,2
1829,False,False,True,False,True,Black,Initial Hearing/Arraignment,3
1830,False,True,False,False,False,Other,Pre-Trial Motions,4
1831,True,True,True,False,True,Other,Plea Bargaining,1
1832,True,True,False,True,False,Other,Investigation,0
1833,False,True,False,True,True,Black,Plea Bargaining,5
1834,True,True,False,True,False,Other,Initial Hearing/Arraignment,1
1835,True,True,False,True,False,Hispanic,Investigation,3
1836,True,False,True,False,True,Black,Plea Bargaining,5
1837,True,False,False,True,False,Black,Pre-Trial Motions,5
1838,True,True,False,True,True,Other,Investigation,3
1839,False,False,True,True,True,White,Initial Hearing/Arraignment,3
1840,True,False,True,True,False,White,Pre-Trial Motions,3
1841,False,False,False,True,True,Black,Investigation,5
1842,True,False,True,True,True,White,Investigation,3
1843,False,False,True,False,True,Hispanic,Pre-Trial Motions,2
1844,False,False,False,False,False,Black,Plea Bargaining,3
1845,True,False,False,False,True,Other,Pre-Trial Motions,1
1846,True,True,True,False,True,Other,Plea Bargaining,1
1847,False,True,False,True,False,Hispanic,Plea Bargaining,3
1848,False,True,False,False,False,White,Pre-Trial Motions,3
1849,True,True,True,True,False,Black,Plea Bargaining,2
1850,False,True,True,True,False,Other,Plea Bargaining,3
1851,False,False,True,False,False,Black,Investigation,4
